Study,Substudy,Beta,Variance,Author,Year,Citation,DOI,g_sp,Duration,mean_density
18,58,0.67,63,"Hixon, MA",1997,"Hixon, MA (1997). Synergistic predation, density dependence, and population regulation in marine fish. *Science*.",10.1126/science.277.5328.946,Chromis_cyanea,30,2.013888889
18,59,23.463,200,"Hixon, MA",1997,"Hixon, MA (1997). Synergistic predation, density dependence, and population regulation in marine fish. *Science*.",10.1126/science.277.5328.946,Chromis_cyanea,30,2.04166666675
18,60,75.804,239,"Hixon, MA",1997,"Hixon, MA (1997). Synergistic predation, density dependence, and population regulation in marine fish. *Science*.",10.1126/science.277.5328.946,Chromis_cyanea,30,2.0694444445
19,61,88.994,263,"Sano, M",1997,"Sano, M (1997). Temporal variation in density dependence: recruitment and postrecruitment demography of a temperate zone sand goby. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/S0022-0981(97)00019-1,Sagamia_geneionema,165,0.8529195
19,62,-1.174,5.39,"Sano, M",1997,"Sano, M (1997). Temporal variation in density dependence: recruitment and postrecruitment demography of a temperate zone sand goby. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/S0022-0981(97)00019-1,Sagamia_geneionema,165,1.1562
19,63,129.16,545,"Sano, M",1997,"Sano, M (1997). Temporal variation in density dependence: recruitment and postrecruitment demography of a temperate zone sand goby. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/S0022-0981(97)00019-1,Sagamia_geneionema,165,0.99793875
20,64,18.962,59.1,"Steele, MA",1997,"Steele, MA (1997). Population regulation by post-settlement mortality in two temperate reef fishes. *Oecologia*.",10.1007/s004420050284,Rhinogobiops_nicholsii,86,6.554469818499999
20,65,16.058,7.68,"Steele, MA",1997,"Steele, MA (1997). Population regulation by post-settlement mortality in two temperate reef fishes. *Oecologia*.",10.1007/s004420050284,Lythrypnus_dalli,37,31.055984044888888
17,55,109.699,160,"Beukers, JS",1998,"Beukers, JS (1998). Habitat complexity modifies the impact of piscivores on a coral reef fish population. *Oecologia*.",10.1007/s004420050419,Pomacentrus_moluccensis,365,0.49675
22,68,145.96,120,"Letourneur, Y",1998,"Letourneur, Y (1998). Mass settlement and post-settlement mortality of epinephelus merra (pisces : serranidae) on reunion coral reefs. *Journal Of The Marine Biological Association Of The United Kingdom*.",10.1017/S0025315400040108,Epinephelus_merra,49,11.484
23,69,7171.717,1270906.5,"Planes, S",1998,"Planes, S (1998). Density dependence in post-recruitment processes of juvenile sparids in the littoral of the mediterranean sea. *Oikos*.",10.2307/3546840,Diplodus_puntazzo,90,0.0159532445
23,70,3212.121,110493.5,"Planes, S",1998,"Planes, S (1998). Density dependence in post-recruitment processes of juvenile sparids in the littoral of the mediterranean sea. *Oikos*.",10.2307/3546840,Diplodus_sargus,90,0.063705341
23,71,1808.081,22336.4,"Planes, S",1998,"Planes, S (1998). Density dependence in post-recruitment processes of juvenile sparids in the littoral of the mediterranean sea. *Oikos*.",10.2307/3546840,Diplodus_vulgaris,90,0.15215581733333333
24,72,1.695,2.36,"Brooks, AJ",1999,"Brooks, AJ (1999). Factors influencing the structure of an estuarine fish community: the role of interspecific competition. *Disssertation*.",,Gillichthys_mirabilis,30,14.666666666666666
24,73,9.697,7.38,"Brooks, AJ",1999,"Brooks, AJ (1999). Factors influencing the structure of an estuarine fish community: the role of interspecific competition. *Disssertation*.",,Leptocottus_armatus,30,14.666666666666666
25,74,-45.148,2440,"Caselle, JE",1999,"Caselle, JE (1999). Early post-settlement mortality in a coral reef fish and its effect on local population size. *Ecological Monographs*.",10.1890/0012-9615(1999)069[0177:EPSMIA]2.0.CO;2,Thalassoma_bifasciatum,30,0.4122350376
25,75,1119.434,151932.8,"Caselle, JE",1999,"Caselle, JE (1999). Early post-settlement mortality in a coral reef fish and its effect on local population size. *Ecological Monographs*.",10.1890/0012-9615(1999)069[0177:EPSMIA]2.0.CO;2,Thalassoma_bifasciatum,1,0.7936063909774437
25,76,17.162,308,"Caselle, JE",1999,"Caselle, JE (1999). Early post-settlement mortality in a coral reef fish and its effect on local population size. *Ecological Monographs*.",10.1890/0012-9615(1999)069[0177:EPSMIA]2.0.CO;2,Thalassoma_bifasciatum,30,0.6094180700208334
25,77,312.121,93.4,"Caselle, JE",1999,"Caselle, JE (1999). Early post-settlement mortality in a coral reef fish and its effect on local population size. *Ecological Monographs*.",10.1890/0012-9615(1999)069[0177:EPSMIA]2.0.CO;2,Thalassoma_bifasciatum,30,0.516247939478261
26,80,1.004,0.0605,"Schmitt, RJ",1999,"Schmitt, RJ (1999). Mortality of juvenile damselfish: implications for assessing processes that determine abundance. *Ecology*.",10.2307/176978,Dascyllus_trimaculatus,14,98.28571428571429
28,87,0.397,0.00203,"Schmitt, RJ",1999,"Schmitt, RJ (1999). Quantifying the effects of multiple processes on local abundance: a cohort approach for open populations. *Ecology Letters*.",10.1046/j.1461-0248.1999.00086.x,Dascyllus_trimaculatus,180,573.7636363636364
30,90,35.857,53.9,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Lythrypnus_dalli,21,17.4778375
30,91,-0.828,0.00768,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Lythrypnus_dalli,21,20.7425125
30,92,-7.335,553,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Rhinogobiops_nicholsii,30,5.7059
30,93,-3.46,3.17,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Rhinogobiops_nicholsii,30,5.6544
30,94,1.933,4.22,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Rhinogobiops_nicholsii,59,5.420225
30,95,0.781,2.23,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Rhinogobiops_nicholsii,59,5.569850000000001
30,96,7.088,15.7,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Rhinogobiops_nicholsii,140,4.627656249999999
30,97,1249.495,258733,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Coryphopterus_glaucofraenum,30,4.651125
30,98,126.667,612,"Forrester, GE",2000,"Forrester, GE (2000). Variation in the presence and cause of density-dependent mortality in three species of reef fishes. *Ecology*.",,Coryphopterus_glaucofraenum,30,4.67912
32,101,239.394,538,"Anderson, TW",2001,"Anderson, TW (2001). Predator responses, prey refuges, and density-dependent mortality of a marine fish. *Ecology*.",,Brachyistius_frenatus,14,2.5861958885
33,102,0.031,2.4e-4,"Nanami, A",2001,"Nanami, A (2001). Survival rates of juvenile coral reef fishes differ between patchy and continuous habitats. *Bulletin Of Marine Science*.",,Dascyllus_aruanus,56,952.3809526
33,103,0.271,0.00485,"Nanami, A",2001,"Nanami, A (2001). Survival rates of juvenile coral reef fishes differ between patchy and continuous habitats. *Bulletin Of Marine Science*.",,Dascyllus_aruanus,56,952.3809526
31,99,1428.485,111317.3,"Shima, JS",2001,"Shima, JS (2001). Regulation of local populations of a coral reef fish via joint effects of density- and number-dependent mortality. *Oecologia*.",10.1007/s004420000486,Thalassoma_hardwicke,14,2.3420255028
37,109,-2.753,111,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.3555555556
37,110,113.939,1160,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.3555555556
37,111,-65.853,1360,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.3555555556
37,112,464.485,25832.4,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.4444444442
37,113,52.023,1780,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.3333333334
37,114,331.101,4960,"Carr, MH",2002,"Carr, MH (2002). Biodiversity, population regulation, and the stability of coral-reef fish communities. *Proceedings Of The National Academy Of Sciences Of The United States Of America*.",10.1073/pnas.162653499,Stegastes_partitus,44,1.3333333334
38,115,-2.026,0.247,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_flavicaudus,1,143.23944878
38,116,26.314,11.7,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_flavicaudus,1,143.23944878
38,117,2.713,0.213,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_flavicaudus,4,218.26963624285713
38,118,4.056,0.313,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_flavicaudus,4,218.26963624285713
38,119,7.271,1.55,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_flavicaudus,0.5,222.81692031999998
38,121,6.409,0.392,"Holbrook, SJ",2002,"Holbrook, SJ (2002). Competition for shelter space causes density-dependent predation mortality in damselfishes. *Ecology*.",10.1890/0012-9658(2002)083[2855:CFSSCD]2.0.CO;2,Dascyllus_trimaculatus,0.5,371.3615339
72,255,30.202,1.59,"Nitschke, P",2002,"Nitschke, P (2002). Evidence for density-dependent mortality in recruitment of a temperate reef fish, cunner tautogolabrus adspersus, among similar reefs in the vicinity of an anthropogenic disturbance. *Marine Ecology Progress Series*.",10.3354/meps226165,Tautogolabrus_adspersus,63,11.210526316666666
71,251,82.828,182086.7,"Shima, JS",2002,"Shima, JS (2002). Mechanisms of density- and number-dependent population regulation of a coral-reef fish. *Marine And Freshwater Research*.",10.1071/MF01133,Thalassoma_hardwicke,7,0.375
71,252,4349.091,596390.8,"Shima, JS",2002,"Shima, JS (2002). Mechanisms of density- and number-dependent population regulation of a coral-reef fish. *Marine And Freshwater Research*.",10.1071/MF01133,Thalassoma_hardwicke,7,0.375
41,132,866.216,15540.1156,"Wilson, J",2002,"Wilson, J (2002). Experimental and observational patterns of density-dependent settlement and survival in the marine fish gobiosoma. *Oecologia*.",10.1007/s004420100784,Elactinus_sp.,12,65.75
41,133,3.667,54.1696,"Wilson, J",2002,"Wilson, J (2002). Experimental and observational patterns of density-dependent settlement and survival in the marine fish gobiosoma. *Oecologia*.",10.1007/s004420100784,Elactinus_sp.,32,66.75
43,136,142,2810,"Shima, JS",2003,"Shima, JS (2003). Cryptic density dependence: effects of covariation between density and site quality in reef fish. *Ecology*.",10.1890/0012-9658(2003)084[0046:CDDEOC]2.0.CO;2,Thalassoma_hardwicke,90,0.5307
45,139,197.61,1400,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,50.5,1.7718463333333334
45,140,104.174,643,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,50.5,1.9560686666666667
45,141,-5.123,73.4,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,50.5,1.88004
45,142,229.727,4070,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,37.42857142857143,1.08542
45,143,25.676,136,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,36.25,2.02456375
45,144,21.212,41.5,"Forrester, GE",2004,"Forrester, GE (2004). Predators, prey refuges, and the spatial scaling of density-dependent prey mortality. *Ecology*.",10.1890/03-0184,Coryphopterus_glaucofraenum,36.1,3.161036
46,163,-9.2,456,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,3.4185640115
46,164,-27.518,37.8,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,7.829092342333333
46,165,84.427,399,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,8.589984376166667
46,166,29.141,51.5,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,25.529210938333332
46,167,53.601,443,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,9.388510416199999
46,168,10.039,45.4,"Overholtzer-Mcleod, KL",2004,"Overholtzer-Mcleod, KL (2004). Variance in reef spatial structure masks density dependence in coral-reef fish populations on natural versus artificial reefs. *Marine Ecology Progress Series*.",10.3354/meps276269,Halichoeres_garnoti,21,25.344075
48,170,2.479,0.351,"Hixon, MA",2005,"Hixon, MA (2005). Competition, predation, and density-dependent mortality in demersal marine fishes. *Ecology*.",10.1890/04-1455,Pomacentrus_amboinensis,516,5.000000000000001
48,171,5.97,1.35,"Hixon, MA",2005,"Hixon, MA (2005). Competition, predation, and density-dependent mortality in demersal marine fishes. *Ecology*.",10.1890/04-1455,Pomacentrus_amboinensis,516,5.000000000000001
49,172,18.628,70.3,"Overholtzer-Mcleod, KL",2005,"Overholtzer-Mcleod, KL (2005). Post-settlement emigration affects mortality estimates for two bahamian wrasses. *Coral Reefs*.",10.1007/s00338-005-0477-3,Halichoeres_garnoti,30,4.6313463084
49,173,10.457,82.7,"Overholtzer-Mcleod, KL",2005,"Overholtzer-Mcleod, KL (2005). Post-settlement emigration affects mortality estimates for two bahamian wrasses. *Coral Reefs*.",10.1007/s00338-005-0477-3,Thalassoma_bifasciatum,30,2.8120042077000003
49,174,-26.226,164,"Overholtzer-Mcleod, KL",2005,"Overholtzer-Mcleod, KL (2005). Post-settlement emigration affects mortality estimates for two bahamian wrasses. *Coral Reefs*.",10.1007/s00338-005-0477-3,Halichoeres_garnoti,30,2.3570335611
49,175,184.126,5710,"Overholtzer-Mcleod, KL",2005,"Overholtzer-Mcleod, KL (2005). Post-settlement emigration affects mortality estimates for two bahamian wrasses. *Coral Reefs*.",10.1007/s00338-005-0477-3,Thalassoma_bifasciatum,30,0.7638922422
81,278,2053.03,530275.8,"Wilson, JA",2005,"Wilson, JA (2005). Age class interactions in a marine goby, elacatinus prochilos (bohlke and robins, 1968). *Journal Of Experimental Marine Biology And Ecology*.",10.1016/j.jembe.2005.06.013,Elactinus_sp.,1,15.448939393333333
81,282,-477.778,44320.2,"Wilson, JA",2005,"Wilson, JA (2005). Age class interactions in a marine goby, elacatinus prochilos (bohlke and robins, 1968). *Journal Of Experimental Marine Biology And Ecology*.",10.1016/j.jembe.2005.06.013,Elactinus_sp.,1,15.172045453333334
51,185,35.051,438,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.28752736933333334
51,186,4022.859,77552983.7,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.074791667
51,187,232.323,9590,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.09306249999999999
51,188,97.778,17101.3,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.3690972223333333
51,189,49.091,90.4,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.36094444433333334
51,190,909.081,1344568.1,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.21215277766666665
51,191,-61.818,124,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.8816041666666666
51,192,9494.949,1446539149,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,365,0.8124999998333333
52,193,0.768,0.551,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,27,12.127558096000001
52,194,9.106,2.04,"Johnson, DW",2006,"Johnson, DW (2006). Density dependence in marine fish populations revealed at small and large spatial scales. *Ecology*.",10.1890/04-1665,Sebastes_atrovirens,27,12.288198095285713
82,279,-20.606,24.5,"Johnson, DW",2006,"Johnson, DW (2006). Predation, habitat complexity, and variation in density-dependent mortality of temperate reef fishes. *Ecology*.",10.1890/06-0591.1,Sebastes_spp_NA,2,6.545566499333333
82,280,9.048,66.7,"Johnson, DW",2006,"Johnson, DW (2006). Predation, habitat complexity, and variation in density-dependent mortality of temperate reef fishes. *Ecology*.",10.1890/06-0591.1,Sebastes_spp_NA,2,6.257109465625001
82,281,107.386,214,"Johnson, DW",2006,"Johnson, DW (2006). Predation, habitat complexity, and variation in density-dependent mortality of temperate reef fishes. *Ecology*.",10.1890/06-0591.1,Sebastes_spp_NA,2,6.248080465625
73,256,-1.313,0.47,"Lecchini, D",2006,"Lecchini, D (2006). Evidence of density-independent mortality in a settling coral reef damselfish, chromis viridis. *Ichthyological Research*.",10.1007/s10228-006-0340-8,Chromis_viridis,1,611.20543299
73,257,3.358,1.14,"Lecchini, D",2006,"Lecchini, D (2006). Evidence of density-independent mortality in a settling coral reef damselfish, chromis viridis. *Ichthyological Research*.",10.1007/s10228-006-0340-8,Chromis_viridis,1,611.20543299
53,197,36.662,48.1,"Overholtzer-Mcleod, KL",2006,"Overholtzer-Mcleod, KL (2006). Consequences of patch reef spacing for density-dependent mortality of coral-reef fishes. *Ecology*.",10.1890/0012-9658(2006)87[1017:COPRSF]2.0.CO;2,Stegastes_leucostictus,30,11.274181818181818
53,198,74.442,439,"Overholtzer-Mcleod, KL",2006,"Overholtzer-Mcleod, KL (2006). Consequences of patch reef spacing for density-dependent mortality of coral-reef fishes. *Ecology*.",10.1890/0012-9658(2006)87[1017:COPRSF]2.0.CO;2,Stegastes_leucostictus,30,11.336
55,200,33.222,7.23583,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
55,201,50.894,80.39794,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
55,202,3.534,0.0894,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
55,203,21.913,1.42929,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
55,204,15.551,0.80461,"Schmitt, RJ",2007,"Schmitt, RJ (2007). The scale and cause of spatial heterogeneity in strength of temporal density dependence. *Ecology*.",10.1890/06-0970,Dascyllus_flavicaudus,2,66.05
