"","substudy_num","alpha_nls2","alpha_se_nls2","beta_hat","beta_variance_nls2","unnamed","substudy_source","Alex_PAPER_ID","use_alex_craig","data.source..or.reason.for.exclusion.","data.on.recruit.on.recruit","data.on.older.fish.on.older.fish","Density.areal.units..or.can.be.converted.","Data.set.original..YES.Use.them.or.not.checked..No.use.data.from.another.paper...","is.the.initial.number..taken.at.a.point.in.time..SINGLE..but.this.might.be.multiple.settlement.events...or.is.an.cumulative.number..e.g...sum.settlers..over.every.day.of.summer...if.CUMULATIVE...then.what.is.the.time.scale.of.the.summation.","Number.of.Aggregrated.taxa.","Is.good.based.on..criteria.","Fish.Depleted.or.were.Replaced...Or.do.we.take.Beta.directly.from.the.paper.","estimation_approach","use_2024","Authors","Article.Title","Source.Title","Abstract","Times.Cited..WoS.Core","Times.Cited..All.Databases","Publication.Date","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","study_num","study","lat_deci","long_deci","journal","paired_pred","paired_substudy_num","conclusion","rawdata_for_analysis","alpha_2002","alpha_se_2002","beta_2002","beta_se_2002","var_alpha_2002","var_beta_2002","expt_obs","expt_obs_pairs","family","g_sp","trophic_status","trophic_level","habitat","geog_region_2","ocean","predators","age_start","size_start","size_start_units","SL_start","duration"
"48",91,0.00575757575757576,0.000476705833848691,-8.28282828282828e-05,7.6756526089506e-11,76,"fig2-without preds",163,"yes","Fig 2 without preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",90,"DI","yes","-0.00443",0.00322,6.5e-05,5.7e-05,1.04e-05,3.25e-09,"Exp",NA,"Gobiidae","Lythrypnus_dalli","planktivore",3.21,"reef","California","Pacific","absent",75,32,"mmSL",32,21
"49",92,0.0615151515151515,0.0108225108225108,-0.000733463636363636,5.53214291167038e-06,77,"fig3a-with preds",163,"yes (if it can be fit)","Fig 3a with preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",92,"DI","yes","-0.041772341",0.0498,-0.002378587,0.0109,0.00248004,0.00011881,"Exp",NA,"Gobiidae","Rhinogobiops_nicholsii","planktivore and carnivore",NA,"reef","California","Pacific","present",60,38.5,"mmSL",38.5,30
"50",93,0.00746464646464646,0.00175221603793032,-0.000346022424242424,3.16856145330392e-08,78,"fig3a-without preds",163,"yes","Fig 3a without preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",92,"DI","yes","-0.00922",0.00478,0.000495,0.000387,2.28e-05,1.5e-07,"Exp",NA,"Gobiidae","Rhinogobiops_nicholsii","planktivore and carnivore",NA,"reef","California","Pacific","absent",60,38.5,"mmSL",38.5,30
"51",94,0.00252525252525327,0.00136569779426909,0.000193282828282828,4.22138996966859e-08,79,"fig3b-with preds",163,"yes","fig3b-with preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",94,"DI","yes","0",0,-0.00052,0.000162,0,2.62e-08,"Exp",NA,"Gobiidae","Rhinogobiops_nicholsii","planktivore and carnivore",NA,"reef","California","Pacific","present",75,44.2,"mmSL",44.2,59
"52",95,0.002222222222223,0.00115955473098319,7.80679090909091e-05,2.23338630156183e-08,80,"fig3b-without preds",163,"yes","fig3b-without preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",94,"DI","yes","-0.001388324",0.00222,-0.000158909,0.000211,4.93e-06,4.45e-08,"Exp",NA,"Gobiidae","Rhinogobiops_nicholsii","planktivore and carnivore",NA,"reef","California","Pacific","absent",75,44.2,"mmSL",44.2,59
"53",96,0.0043939393939401,0.00131416202844766,0.000708754747474747,1.57474616618549e-07,81,"fig3c-with preds",163,"yes","fig3c-with preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","unpaired",96,"DI","yes","-0.004307092",0.00261,-0.000738615,0.000635,6.81e-06,4.03e-07,"Exp",NA,"Gobiidae","Rhinogobiops_nicholsii","planktivore and carnivore",NA,"reef","California","Pacific","present",135,57.5,"mmSL",57.5,140
"54",97,1e-15,NA,0.124949494949495,0.00258732969771931,82,"fig5-with preds",163,"yes","fig5-with preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",97,"DD","yes","0",0,-0.1262,0.064,0,0.004096,"Exp",NA,"Gobiidae","Coryphopterus_glaucofraenum","carnivore",2.67,"reef","Bahamas","Caribbean","present",180,40,"mmSL",40,30
"55",98,0.00121212121212217,NA,0.0126666666666667,6.11927460589003e-06,83,"fig5-without preds",163,"yes","fig5-without preds","no","Yes","yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Forrester, GE; Steele, MA","Variation in the presence and cause of density-dependent mortality in three species of reef fishes","ECOLOGY","Determining the mechanisms by which natural populations are regulated is a key issue in ecology. Identifying the biological causes of density dependence has, however, proved difficult in many systems. In this study we tested whether adults of three species of reef fish (all gobies) suffered density-dependent mortality, and whether the density-dependent component of mortality was caused by predation. We used field experiments to test for density dependence in each prey species, manipulating the presence of predators and prey density in a factorial design. Prey were stocked on replicate patches of reef constructed of natural materials, with each reef receiving a different density of gobies. Predatory fishes were excluded from half of the reefs using a combination of removals and exclusion cages. Survival of the first species, Lythrypnus dalli, was high and density independent on reefs free of predators, but declined rapidly with increasing density on reefs to which predators had access. Density dependence in L. dalli was thus a result of mortality inflicted by predatory fishes. In the second species, Coryphopterus nicholsii, predators caused a large reduction in the survival in one experiment but had a negligible effect in a second experiment. More importantly, though, survival of C. nicholsii was always independent of its density, regardless of predator presence. In the final species. Coryphopterus glaucofraenum, two separate experiments showed that natural changes in adult abundance (experiment 1) and survival of stocked adults (experiment 2) were density-dependent regardless of predator presence. Both experiments thus indicated that the density-dependent component of loss in C. glaucofraenum was caused, at least in part, by an interaction other than predation. The presence, intensity, and biological cause of density-dependent survival were thus strikingly different for each of these three fishes, despite the fact that they are taxonomically closely related and ecologically similar. These findings suggest a need for further studies aimed at predicting under what circumstances different mechanisms of population regulation will operate.","59",59,"SEP",2000,81,"9",2416,2427,NA,30,"Forrester and Steele 2000",33.45,-118.4833333,"Ecology","paired",97,"DD","yes","0",0,-0.0134,0.00162,0,2.62e-06,"Exp",NA,"Gobiidae","Coryphopterus_glaucofraenum","carnivore",2.67,"reef","Bahamas","Caribbean","absent",180,40,"mmSL",40,30
"56",99,0.0409090909090916,0.0143011750154606,0.142848484848485,0.00111317349788063,84,"Fig3, expt, T. hardwicke-JS00",174,"yes","Fig 3,and either Fig 2 or 4 are good;  2 and 4 are the same data (expressed in two ways).   Data in Fig5 (number vs. density) are repeated in #195 (we should use 195, not this paper).","Yes","No","Yes","YES-but only partly","SINGLE","1","Yes","Depleted","Binomial","yes","Shima, JS","Regulation of local populations of a coral reef fish via joint effects of density- and number-dependent mortality","OECOLOGIA","Density-dependent mortality can regulate local populations - effectively minimizing the likelihood of local extinctions and unchecked population growth. It is considered particularly important for many marine reef organisms with demographically open populations that lack potential regulatory mechanisms tied to local reproduction. While density-dependent mortality has been documented frequently for reef fishes, few studies have explored how the strength of density-dependence varies with density, or how density-dependence may be modified by numerical effects (i.e., number-dependent mortality). Both issues can have profound effects on spatial patterns of abundance and the regulation of local populations. I address these issues through empirical studies in Moorea, French Polynesia, of the six bar wrasse (Thalassoma hardwicke), a reef fish that settles to isolated patch reefs. Per capita mortality rates of newly settled wrasse increased as a function of density and were well approximated by the Beverton-Holt function for both naturally formed and experimentally generated juvenile cohorts. Average instantaneous mortality rates were a decelerating function of initial densities, indicating the per capita strength of density-dependence decreased with density. Results of a factorial manipulation of density and group size indicate that per capita mortality rates were simultaneously density- and number-dependent; fish at higher densities and/or in groups had higher probabilities of disappearing from patch reefs compared with fish that were solitary and/or at lower densities, Mortality rates were similar to 30% higher for fish at densities of 0.5 fish/m(2) than at 0.25 fish/m(2). Similarly, mortality rates increased by similar to 45% when group size was increased from 1 to 2 individuals per patch, even when density was kept constant. These observations suggest that the number of interacting individuals, independent of patch size (i.e., density independent effects) can contribute to regulation of local populations. Overall, this work highlights a greater need to consider numerical effects in addition to density effects when exploring sources of population regulation.","44",44,"JAN",2001,126,"1",58,65,"10.1007/s004420000486",31,"Shima 2001",-17.5,-149.8333333,"Oecologia","unpaired",99,"DD","yes","-0.05344035",0.0448,-0.121480648,0.0678,0.00200704,0.00459684,"Exp",NA,"Labridae","Thalassoma_hardwicke","carnivore",NA,"reef","Moorea","Pacific","present",3,10,"mmSL",10,14
"57",101,1e-15,NA,0.0239393939393939,5.37826869658303e-06,86,"Fig3",165,"yes","Fig3 -- but note that the juveniles were ""39-72mm SL"", and I'm not sure how old these are (esp given live birth).","YES-sortof-""juvenile""","no","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Anderson, TW","Predator responses, prey refuges, and density-dependent mortality of a marine fish","ECOLOGY","Detection of density dependence in animal populations is a primary goal of population ecology, and the processes causing density dependence play a major role in population regulation. Predation can strongly regulate populations by populational and behavioral responses of predators to their prey. Here I evaluate the existence and strength of density-dependent mortality in local populations of a reef fsh, the kelp perch (Brachyistius frenatus), caused by its predator, the kelp bass (Paralabrax clathratus). Specifically, I examine both the functional response and a potential aggregative response by kelp bass as mechanisms underlying predator-induced density-dependent mortality. I calculated the per capita mortality of kelp perch as a result of the functional response of its predator by subjecting a range of densities of kelp perch to a low, constant number of kelp bass and different amounts of giant kelp (Macrocystis,pyrifera) as habitat structure and a potential prey refuge. The potential for an aggregative response by kelp bass was determined by exposing densities of kelp perch to natural levels of kelp bass in the field. Per capita mortality of kelp perch in the laboratory was inversely density dependent to density independent with increasing habitat structure. By contrast, per capita mortality in the field was strongly density dependent, with evidence for an aggregative response by kelp bass. Furthermore, emigration and other nonpredatory losses of kelp perch from field plots were negligible, indicating that the product of the functional and aggregative responses by kelp bass induced density-dependent mortality in kelp perch. My results indicated that increasing habitat structural complexity at low densities of kelp perch, coupled with a strong aggregative response by kelp bass, was responsible for the observed pattern of density-dependent mortality. In addition, the distribution and relative abundances of kelp perch and kelp bass at larger spatial scales (entire reefs) were consistent with predation as an important process structuring local populations of kelp perch. The contrasting patterns of short-term per capita mortality found here underscore the need to evaluate both the functional and aggregative responses of predators to their prey. Ultimately, the pattern of mortality expressed will be determined by the relative strengths of these behavioral responses and the degree to which habitat structure provides an effective prey refuge.","186",192,"JAN",2001,82,"1",245,257,NA,32,"Anderson, 2001",33.45,-118.4833333,"Ecology","unpaired",101,"DD","yes","0",0,-0.0306,0.0063,0,3.97e-05,"Exp",5,"Embiotocidae","Brachyistius_frenatus","carnivore",3.5,"reef","California","Pacific","present",183,55.5,"mmSL",55.5,14
"58",102,0.00560606060606123,0.00100494743351879,3.06060606060606e-06,2.41430481789612e-12,87,"caged",188,"yes","Fig4.  D. auranus were 10-20mm TL: area of artificial reefs was 14x15 cm2","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Nanami, A; Nishihira, A","Survival rates of juvenile coral reef fishes differ between patchy and continuous habitats","BULLETIN OF MARINE SCIENCE","Predation has been thought to be a major factor organizing coral reef fish assemblages, and some reports have suggested that predation pressure varies according to the habitat type. We hypothesized that variation in predation pressure is caused by the spatial patterns of coral colonies, i.e., a continuous or a patchy distribution. We conducted field experiments to determine whether (1) survival of juvenile varies between sites with different habitat characteristics, (2) predation pressure is density-dependent, and (3) small-sized juveniles are susceptible to predation. For experiments, juvenile Dascyllus aruanus were released into model coral colonies, covered or not covered with a cage, set at two contrasting sites (continuous habitat: continuous reef, patchy habitat: sandy bottom) on a coral reef in Okinawa. The density of predators was not significantly different between continuous habitat (continuous reef) and isolated habitat (sandy bottom), Just after the start of the experiment, a higher proportion of juveniles moved out from the model colonies at continuous reef, while a smaller proportion of them tended to stay in the colonies at sandy bottom. Fish survived significantly better in the uncaged treatment at continuous reef than at sandy bottom. The survival of large juveniles was greater than that of small juveniles, although it was not significantly different. Although predation pressure did not have a density-dependent effect on juvenile mortality, the trend toward density-dependent survival was stronger at sandy bottom than at continuous reef, suggesting that a density-dependent effect of predation might occur more frequently in isolated habitat. Our findings indicate that predation pressure is affected by the habitat structure.","14",14,"NOV",2001,69,"3",1209,1221,NA,33,"Nanami and Nishihira 2001",26.6333333,127.8666667,"Bulletin of Marine Science","paired",102,"DI","yes",NA,NA,NA,NA,NA,NA,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Japan","Pacific","absent",20,15,"mmTL",12,56
"59",103,0.010303030303031,0.00270562770562761,2.71254545454545e-05,4.84567091557064e-11,88,"uncaged",188,"yes","Fig4.  D. auranus were 10-20mm TL: area of artificial reefs was 14x15 cm2","Yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Nanami, A; Nishihira, A","Survival rates of juvenile coral reef fishes differ between patchy and continuous habitats","BULLETIN OF MARINE SCIENCE","Predation has been thought to be a major factor organizing coral reef fish assemblages, and some reports have suggested that predation pressure varies according to the habitat type. We hypothesized that variation in predation pressure is caused by the spatial patterns of coral colonies, i.e., a continuous or a patchy distribution. We conducted field experiments to determine whether (1) survival of juvenile varies between sites with different habitat characteristics, (2) predation pressure is density-dependent, and (3) small-sized juveniles are susceptible to predation. For experiments, juvenile Dascyllus aruanus were released into model coral colonies, covered or not covered with a cage, set at two contrasting sites (continuous habitat: continuous reef, patchy habitat: sandy bottom) on a coral reef in Okinawa. The density of predators was not significantly different between continuous habitat (continuous reef) and isolated habitat (sandy bottom), Just after the start of the experiment, a higher proportion of juveniles moved out from the model colonies at continuous reef, while a smaller proportion of them tended to stay in the colonies at sandy bottom. Fish survived significantly better in the uncaged treatment at continuous reef than at sandy bottom. The survival of large juveniles was greater than that of small juveniles, although it was not significantly different. Although predation pressure did not have a density-dependent effect on juvenile mortality, the trend toward density-dependent survival was stronger at sandy bottom than at continuous reef, suggesting that a density-dependent effect of predation might occur more frequently in isolated habitat. Our findings indicate that predation pressure is affected by the habitat structure.","14",14,"NOV",2001,69,"3",1209,1221,NA,33,"Nanami and Nishihira 2001",26.6333333,127.8666667,"Bulletin of Marine Science","paired",102,"DI","yes",NA,NA,NA,NA,NA,NA,"Exp",NA,"Pomacentridae","Dascyllus_aruanus","planktivore",3.349999905,"reef","Japan","Pacific","present",20,15,"mmTL",12,56
"60",109,0.00509090909090909,0.0014378478664193,-0.000275267595959596,1.11279284033878e-06,92,"Figure 1A - no pred no compet",223,"yes","Figure 1A - no pred no compet","yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Carr, MH; Anderson, TW; Hixon, MA","Biodiversity, population regulation, and the stability of coral-reef fish communities","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Unprecedented population declines and extinctions because of human activities, combined with a growing recognition that such losses affect the stability of ecosystems, underscore the need to better understand how populations persist naturally. We provide field experimental evidence that high biodiversity-in particular, the combined effects of predators and competitors-acts in a way that regulates the size of local fish populations within their coral-reef community. These results indicate that complex interactions among multiple species are necessary for the stability of a highly diverse community, and so forewarn that overexploiting such species may have cascading negative consequences for the entire system.","107",112,"20-Aug",2002,99,"17",11241,11245,"10.1073/pnas.162653499",37,"Carr, Anderston, and Hixon 2002",23.7751063,-76.1293008,"PNAS","unpaired",109,"DD","yes",NA,NA,NA,NA,NA,NA,"Exp",NA,"Pomacentridae","Stegastes_partitus","planktivore",2,"reef","Bahamas","Caribbean","absent",5,17,"mmTL",13.6,44
"61",110,1e-15,NA,0.0113939393939394,1.16219008264463e-05,93,"Figure 1B: no pred, + comp",223,"yes","Figure 1B: no pred, + comp","yes","No","Yes","YES","SINGLE","1","Yes","Depleted","Binomial","yes","Carr, MH; Anderson, TW; Hixon, MA","Biodiversity, population regulation, and the stability of coral-reef fish communities","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Unprecedented population declines and extinctions because of human activities, combined with a growing recognition that such losses affect the stability of ecosystems, underscore the need to better understand how populations persist naturally. We provide field experimental evidence that high biodiversity-in particular, the combined effects of predators and competitors-acts in a way that regulates the size of local fish populations within their coral-reef community. These results indicate that complex interactions among multiple species are necessary for the stability of a highly diverse community, and so forewarn that overexploiting such species may have cascading negative consequences for the entire system.","107",112,"20-Aug",2002,99,"17",11241,11245,"10.1073/pnas.162653499",37,"Carr, Anderston, and Hixon 2002",23.7751063,-76.1293008,"PNAS","paired",110,"DD","yes",NA,NA,NA,NA,NA,NA,"Exp",NA,"Pomacentridae","Stegastes_partitus","planktivore",2,"reef","Bahamas","Caribbean","absent",5,17,"mmTL",13.6,44
