study_num,substudy_num,genus_species,n0_m2,nt_m2,t,Area/Plotna(m2),No.naPlots/point,Othernafactornaadjustment,pdf num-Alex,Notes
8,22,Acanthurus chirurgus,0.41,0.02542,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,0.36,0.00576,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,0.33,0.01518,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,22,Acanthurus chirurgus,0.31,0.00496,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,21,Acanthurus bahianus,0.25,0.03575,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.24,0.00936,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,21,Acanthurus bahianus,0.16,0.11424,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.16,0.008,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.15,0.0174,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,0.14,0.02002,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,0.13,0.00806,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.129,0.005031,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.125,0.00625,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.12,0.01308,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.12,0.01308,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.11,0.09163,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,22,Acanthurus chirurgus,0.1,0.0026,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.09,0.01044,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,22,Acanthurus chirurgus,0.07,0.00455,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.07,0.02919,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,0.06,0.00156,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,23,Acanthurus coeruleus,0.04,0.01668,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,0.04,0.02856,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,26,Acanthurus coeruleus,0.03,0.02499,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,0.02,0.0013,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
14,50,Pomacentrus moluccensis,3.645,0.588,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,2.385,0.551,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,2.079,0.494,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,1.441,0.254,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,1.128,0.172,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,0.981,0.225,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,0.821,0.22,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,0.81,0.157,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,0.711,0.16,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,0.67,0.169,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,0.482,0.1139,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,0.301,0.178,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,50,Pomacentrus moluccensis,0.252,0.086,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
14,51,Pomacentrus wardi,0.193,0.0957,1642,NA,NA,1,1267,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,1.8007,0.99843,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,1.3254,0.70541,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,1.1617,1.4163,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,1.0667,0.87363,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.98218,1.4488,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.76568,1.3132,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.76568,1.0853,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.73927,0.82479,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.66007,0.8465,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.50165,1.324,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.41188,0.26589,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.35908,0.28759,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.2429,1.0418,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.17426,0.67286,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.079208,0.2279,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
10,29,Pomacentrus amboinensis,0.073927,0.39612,730,7.8,1,1,10012,"CUMULATIVE, so won't be used and was not QAQC-ed."
48,170,Pomocentrus amboinensis,8.333333333,2.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,0.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,2.333333333,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,3,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,2,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,3,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,2,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,8.333333333,2,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,2.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,2,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,8.333333333,1.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,2.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1.333333333,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1.333333333,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,2.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,5,1.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,2.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,0.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,0.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,0.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,1,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,1,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,0.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,5,1.333333333,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0.333333333,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,1,516,3,1,1,320,good
48,170,Pomocentrus amboinensis,1.666666667,1.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,0,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,1,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,1,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,0.666666667,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,0.333333333,516,3,1,1,320,good
48,171,Pomocentrus amboinensis,1.666666667,1,516,3,1,1,320,good
57,209,Paralabrax clathratus ,0.01999995,0.1263895,398,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.094047833,0.096794667,395,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.0576395,0.03177,392,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.0305555,0.0423605,385,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.178471667,0.134723333,383,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.043749383,0.010416667,377,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.042361117,0.046528333,377,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.045,0.084443333,374,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.0178161,0.029166117,374,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.040972233,0.020832833,373,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.066,0.0361105,372,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.049305667,0.040278333,372,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.004166667,0.001388883,372,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
57,209,Paralabrax clathratus ,0.079487667,0.0305555,369,1440,1,1,431,"These are for older fish; duration varied -- mean was 362 days, but I've entered each duration for each observation.  I'm unsure if our estimation procedure allows that, but I think so.  Mean density is based on 24, 30x2m2 transects per site."
17,56,Pomacentrus moluccensis,17.61,3.12,365,0.298121863,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
7,17,Dascyllus aruanus,15.18987342,5.987341772,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,18,Dascyllus aruanus,15.18987342,1.898734177,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,19,Pomacentrus amboinensis,15.18987342,9.164556962,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,20,Pomacentrus amboinensis,15.18987342,5.379746835,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
17,56,Pomacentrus moluccensis,11.63,1.75,365,0.042992261,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
17,56,Pomacentrus moluccensis,11.05,8.86,365,0.193478009,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
7,17,Dascyllus aruanus,10.12658228,3.784810127,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,18,Dascyllus aruanus,10.12658228,0.949367089,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,19,Pomacentrus amboinensis,10.12658228,7.911392405,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,20,Pomacentrus amboinensis,10.12658228,4.113924051,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
17,56,Pomacentrus moluccensis,10.02,6.16,365,181.9146517,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
17,56,Pomacentrus moluccensis,9.98,0.248,365,139.8396794,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
6,14,Pomacentrus amboinensis,6.779661017,3.824858757,365,1.77,5,1,10010,"Reef area was 1.77 not 1.55, so densities were corrected."
5,10,Pomacentrus amboinensis,6.779661017,4.785310735,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,11,Pomacentrus amboinensis,6.779661017,4.514124294,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
17,56,Pomacentrus moluccensis,6.45,1.92,365,282.6022962,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
17,56,Pomacentrus moluccensis,6.35,3.3,365,1.25984252,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
17,56,Pomacentrus moluccensis,5.59,4.18,365,1.431127013,1,1,101,"Same data as in substudy 55, but expressed per area of preferreed coral, not total area."
5,12,Pomacentrus amboinensis,5.084745763,1.903954803,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,13,Pomacentrus amboinensis,5.084745763,2.118644068,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
7,17,Dascyllus aruanus,5.063291139,4.417721519,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,18,Dascyllus aruanus,5.063291139,0.632911392,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,19,Pomacentrus amboinensis,5.063291139,2.835443038,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
7,20,Pomacentrus amboinensis,5.063291139,0.316455696,365,0.79,4,1,10011,"Initial Densities were 4,8,12 per reef"
3,8,Pomacentrus wardi,5,0.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,5,1.666666667,365,3,1,1,10004,good
3,8,Pomacentrus wardi,5,2.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,5,2.666666667,365,3,1,1,10004,good
3,8,Pomacentrus wardi,5,3,365,3,1,1,10004,good
5,10,Pomacentrus amboinensis,4.519774011,3.24858757,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,11,Pomacentrus amboinensis,4.519774011,2.81920904,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
6,14,Pomacentrus amboinensis,4.519774011,3.505649718,365,1.77,5,1,10010,"Reef area was 1.77 not 1.55, so densities were corrected."
5,12,Pomacentrus amboinensis,3.389830508,1.129943503,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,13,Pomacentrus amboinensis,3.389830508,0.903954803,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
3,8,Pomacentrus wardi,3.333333333,0.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,3.333333333,0.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,3.333333333,1,365,3,1,1,10004,good
3,8,Pomacentrus wardi,3.333333333,2,365,3,1,1,10004,good
3,8,Pomacentrus wardi,3.333333333,2.333333333,365,3,1,1,10004,good
13,49,Brachyistius,2.469675,0.0803775,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
6,14,Pomacentrus amboinensis,2.259887006,1.576271186,365,1.77,5,1,10010,"Reef area was 1.77 not 1.55, so densities were corrected."
5,10,Pomacentrus amboinensis,2.259887006,1.553672316,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,11,Pomacentrus amboinensis,2.259887006,1.836158192,365,1.77,4,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
13,49,Brachyistius,1.9086,0.1083375,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
51,192,KGB,1.747222222,0.0055,365,60,1,1,335,good
5,12,Pomacentrus amboinensis,1.694915254,1.124293786,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
5,13,Pomacentrus amboinensis,1.694915254,0.672316384,365,1.77,5,1,10009,"Reef area was 1.77 not 1.55, so densities were corrected."
3,8,Pomacentrus wardi,1.666666667,0.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,1.666666667,0.666666667,365,3,1,1,10004,good
3,8,Pomacentrus wardi,1.666666667,0.666666667,365,3,1,1,10004,good
3,8,Pomacentrus wardi,1.666666667,1.333333333,365,3,1,1,10004,good
3,8,Pomacentrus wardi,1.666666667,1.333333333,365,3,1,1,10004,good
51,188,KGB,1.3,0.036458333,365,60,1,1,335,good
13,49,Brachyistius,1.2774,0.1432875,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
51,192,KGB,1.254861111,0,365,60,1,1,335,good
51,191,Sebastes mystinus,1.221361111,0.087333333,365,60,1,1,335,good
79,275,Sebastes mystinus,1.185611903,0.164411968,365,NA,NA,1,392,"Data reused from 2006.  There are a few additional points, but they aren't identified by site/year, so we used 2006 paper (Ecology; pdf# 335)"
13,49,Brachyistius,1.12215,0.136995,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
4,9,Pseudolabrus celidotus,1.022421552,0.051924222,365,500,5,1,10008,good
13,49,Brachyistius,1.016925,0.078285,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
51,191,Sebastes mystinus,0.982472222,0.009555556,365,60,1,1,335,good
51,191,Sebastes mystinus,0.955041667,0.081777778,365,60,1,1,335,good
13,49,Brachyistius,0.951825,0.058713,365,480,1,1,10001,"Transects were located at Bottom (8) , mid-water column (6-8) and canopy (6-8; number of trasects).  Anderson expressed densities per 120m3 (the volume of a single transect). Since this is the mean of all transects, we will take mean density(volume) x 3 (ignoring the slight variation in n. transects) and then divide by 60 (the basal area).  However, reef depth is not indicated.  From the text, CWO surmised that the reefs were ~6-12m in depth, so the transects covered 100% to 50% of the water column.  If we assume the counts are incomplete, then we should scale up densities by 1.5x.  This means that we should take Anderson's densities(volume) and  x 3 transects divide by 60m2 per transect and x 1.5 (i.e. divide by 20).   "
17,55,Pomacentrus moluccensis,0.933,0.14,365,120,1,1,101,"12, 10x1m2 transects per site.  8 sites"
79,275,Sebastes mystinus,0.929584273,0.007670258,365,NA,NA,1,392,"Data reused from 2006.  There are a few additional points, but they aren't identified by site/year, so we used 2006 paper (Ecology; pdf# 335)"
51,191,Sebastes mystinus,0.870666667,0.043583333,365,60,1,1,335,good
