substudy_num,alpha_nls2,alpha_se_nls2,beta_hat,beta_variance_nls2,unnamed,substudy_source,Alex_PAPER_ID,use_alex_craig,data.source..or.reason.for.exclusion.,data.on.recruit.on.recruit,data.on.older.fish.on.older.fish,Density.areal.units..or.can.be.converted.,Data.set.original..YES.Use.them.or.not.checked..No.use.data.from.another.paper...,is.the.initial.number..taken.at.a.point.in.time..SINGLE..but.this.might.be.multiple.settlement.events...or.is.an.cumulative.number..e.g...sum.settlers..over.every.day.of.summer...if.CUMULATIVE...then.what.is.the.time.scale.of.the.summation.,Number.of.Aggregrated.taxa.,Is.good.based.on..criteria.,Fish.Depleted.or.were.Replaced...Or.do.we.take.Beta.directly.from.the.paper.,estimation_approach,use_2024,Authors,Article.Title,Source.Title,Abstract,Times.Cited..WoS.Core,Times.Cited..All.Databases,Publication.Date,Publication.Year,Volume,Issue,Start.Page,End.Page,DOI,study_num,study,lat_deci,long_deci,journal,paired_pred,paired_substudy_num,conclusion,rawdata_for_analysis,alpha_2002,alpha_se_2002,beta_2002,beta_se_2002,var_alpha_2002,var_beta_2002,expt_obs,expt_obs_pairs,family,g_sp,trophic_status,trophic_level,habitat,geog_region_2,ocean,predators,age_start,size_start,size_start_units,SL_start,duration,mean_density,median_density
14,3.63636e-4,2.0615528128088302e-4,1.91886e-4,3e-9,14,pa-late rects,10010,yes,"Fig4(+LR, Expt4)",Yes,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,1987,114,3-Feb,169,182,,6,Jones 1987 jembe,-23.5,152.1,JEMBE,unpaired,14,DI,yes,0,0,-2.8e-4,5.3e-5,0,2.81e-9,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,30,14.4,mmSL,14.4,365,4.519774011333333,4.519774011
15,1.0101e-4,,2.25e-6,1.79e-12,15,Da with adults,10010,yes,"Fig2 (Expt 3+R), ",Yes,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,1987,114,3-Feb,169,182,,6,Jones 1987 jembe,-23.5,152.1,JEMBE,unpaired,15,DD,yes,-0.000298381,3.32e-4,-2.98e-7,3e-6,1.1e-7,8.99e-12,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,30,15.4,mmSL,15.4,240,74.66666666666667,64
16,0.001001001,0.0010099504938362077,0,9.73e-11,16,Da without adults,10010,yes,"Fig2 (Expt 3, -R)",Yes,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Other_No_Counts,yes,"JONES, GP",SOME INTERACTIONS BETWEEN RESIDENTS AND RECRUITS IN TWO CORAL-REEF FISHES,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,1987,114,3-Feb,169,182,,6,Jones 1987 jembe,-23.5,152.1,JEMBE,unpaired,16,DD,yes,-0.000102981,4.91e-4,-8.77e-6,5.04e-6,2.41e-7,2.54e-11,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,30,15.4,mmSL,15.4,240,74.66666666666667,64
17,1e-15,,2.84747e-4,4.22e-9,17,da on poc,10011,yes,Table1 gives design.  Data in  Fig2,Yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES,Journal of Experimental Marine Biology and Ecology,,,,,1988,123,2,115,126,10.1016/0022-0981(88)90164-5,7,Jones 1988,-23.5,152.1,JEMBE,unpaired,17,DD,yes,0,0,-3e-4,7.4e-5,0,5.48e-9,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,30,15.4,mmSL,15.4,365,10.126582279666666,10.12658228
18,0.00620202,8.372574275573791e-4,-5.66e-5,3.07e-8,18,da on porites,10011,yes,Table1 gives design.  Data Fig2,Yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES,Journal of Experimental Marine Biology and Ecology,,,,,1988,123,2,115,126,10.1016/0022-0981(88)90164-5,7,Jones 1988,-23.5,152.1,JEMBE,unpaired,18,DD,yes,-0.00681,0.00102,1.59e-4,1.56e-4,1.04e-6,2.43e-8,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,30,15.4,mmSL,15.4,365,10.126582279666666,10.12658228
19,0.001030303,2.1656407827707716e-4,1.48e-5,5.01e-10,19,pa on poc,10011,yes,Table1 gives design.  Data in Fig1,Yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES,Journal of Experimental Marine Biology and Ecology,,,,,1988,123,2,115,126,10.1016/0022-0981(88)90164-5,7,Jones 1988,-23.5,152.1,JEMBE,unpaired,19,IDD,yes,-0.000603874,0.00142,-5.5e-5,1.38e-4,2.02e-6,1.9e-8,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,30,18,mmSL,18,365,10.126582279666666,10.12658228
20,0.004565657,3.3466401061363023e-4,-1.88313e-4,1.17e-9,20,pa on porites,10011,yes,Table1 gives design.  Data in Fig1 ,Yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",EXPERIMENTAL EVALUATION OF THE EFFECTS OF HABITAT STRUCTURE AND COMPETITIVE INTERACTIONS ON THE JUVENILES OF 2 CORAL-REEF FISHES,Journal of Experimental Marine Biology and Ecology,,,,,1988,123,2,115,126,10.1016/0022-0981(88)90164-5,7,Jones 1988,-23.5,152.1,JEMBE,unpaired,20,IDD,yes,-0.00376,0.00237,1.04e-4,2.55e-4,5.62e-6,6.5e-8,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,30,18,mmSL,18,365,10.126582279666666,10.12658228
27,5.60606e-4,1.2369316876852983e-4,4.64e-6,3.28e-12,24,with adults,10005,yes,"Fig3 (lo,med,hi at two adult densities)",Yes,No,Yes,YES,SINGLE,1,Yes-but fish were fed,Depleted,Binomial,yes,"FORRESTER, GE",FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH,ECOLOGY,FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH,ECOLOGY,,,1990,71,5,1666,1681,10.2307/1937576,9,Forrester 1990,-23.5,152.1,Ecology,unpaired,27,DD,yes,-0.000749,2.36e-4,-2.35e-6,2.71e-6,5.57e-8,7.32e-12,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,7.5,9.12,mmSL,9.12,300,60.846560843333336,55.55555556
28,4.24242e-4,1.7e-4,1.74e-5,9.13e-12,25,without adults,10005,yes,"Fig3 (lo,med,hi at two adult densities)",Yes,No,Yes,YES,SINGLE,1,Yes-but fish were fed,Depleted,Binomial,yes,"FORRESTER, GE",FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH,ECOLOGY,FACTORS INFLUENCING THE JUVENILE DEMOGRAPHY OF A CORAL-REEF FISH,ECOLOGY,,,1990,71,5,1666,1681,10.2307/1937576,9,Forrester 1990,-23.5,152.1,Ecology,unpaired,28,DD,yes,-0.001999,2.68e-4,-2.09e-5,3.85e-6,7.18e-8,1.48e-11,Exp,,Pomacentridae,Dascyllus_aruanus,planktivore,3.3499999049999998,reef,Australia,Pacific,present,7.5,9.12,mmSL,9.12,300,60.846560843333336,55.55555556
30,1e-15,,0.006060606,9.56e-8,27,Fig8,9,yes,Fig 8,yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"VONHERBING, IH; HUNTE, W","SPAWNING AND RECRUITMENT OF THE BLUEHEAD WRASSE THALASSOMA-BIFASCIATUM IN BARBADOS, WEST-INDIES",MARINE ECOLOGY PROGRESS SERIES,"Spawning and recruitment periodicity and post-recruitment mortality were investigated in the bluehead wrasse Thalassoma bifasciatum on fringing reefs on the west coast of Barbados by direct census and by otolith dating techniques. Spawning was seasonal, occurring primarily between January and August. Recruitment was seasonal, and was significantly correlated with spawning with time lags of 1 and 2 mo. This is consistent with the 45 d (range 33 to 64 d) larval life of T. bifasciatum, and suggests that seasonal variation in spawning is the principal factor driving seasonal variation in recruitment. Spawning frequency was higher around new and full moons (spring tides) than around first and last quarters (neap tides), but recruitment did not differ significantly with lunar phase. Daily spawning was more frequent during ebb tides than flood tides, with peak spawning occurring near the beginning of ebb tide. Surface currents on the study reefs were offshore on 96 % of the 94 occasions monitored, regardless of tidal phase. Surface currents at ebb tide were faster than at flood tide, and ebb tide currents were faster during spring tides than neap tides. The data suggest that both daily and lunar spawning cycles are influenced by daily and lunar variation in the speed of offshore currents. Population densities on all reefs had returned to pre-recruitment levels within 3 mo of the end of seasonal recruitment. Monthly mortality (% dying per month) on each study reef during the post-recruitment period was correlated with population density on that reef at the start of the month. This may suggest that post-recruitment mortality is density-dependent, but it could result from the covariance of density with age. However, the mean monthly mortality rate over the post-recruitment period on each reef was significantly correlated with recruitment strength to that reef. This suggests that post-recruitment mortality is density-dependent, and hence that post-recruitment processes influence the population dynamics of bluehead wrasse in Barbados.",52,52,MAY,1991,72,2-Jan,49,58,,11,Hunt von Herbing and Hunte,13.194435,-59.641941,MEPS,unpaired,30,,yes,,,,,,,Obs,,Labridae,Thalassoma_bifasciatum,carnivore,3.49,reef,LesserAntilles,Caribbean,present,,40,,40,120,1.8139,1.8261
49,1e-15,,0.019090909,4.84e-7,45,Fig4,10001,yes,Fig4B. need to convert to m2 (it's in m3),Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"ANDERSON, TW",ROLE OF MACROALGAL STRUCTURE IN THE DISTRIBUTION AND ABUNDANCE OF A TEMPERATE REEF FISH,MARINE ECOLOGY PROGRESS SERIES,,,,,1994,113,3,279,290,10.3354/meps113279,13,Anderson 1994,33.45,-118.4833333,MEPS,unpaired,49,DD,yes,0,0,-0.1976,0.0247,0,6.1009e-4,Obs,5,Embiotocidae,Brachyistius_frenatus,carnivore,3.5,reef,California,Pacific,present,30,50,mmSL,50,365,0.5916800222222223,0.495945
52,0.006060606,0.0019313207915827965,0.005153172,1.17e-6,48,Expt - art reefs,46,yes, Table 1 (and Fig. 2) give adult density dependence in gobies. Not early post-settlement.  Fig 5a is not appropriate b/c it's affect of adults on recruitment.,NO,yes,yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"FORRESTER, GE",STRONG DENSITY-DEPENDENT SURVIVAL AND RECRUITMENT REGULATE THE ABUNDANCE OF A CORAL-REEF FISH,OECOLOGIA,"Debate on the control of population dynamics in reef fishes has centred on whether patterns in abundance are determined by the supply of planktonic recruits, or by post-recruitment processes. Recruitment limitation implies little or no regulation of the reef-associated population, and is supported by several experimental studies that failed to detect density dependence. Previous manipulations of population density have, however, focused on juveniles, and there have been no tests for density-dependent interactions among adult reef fishes. I tested for population regulation in Coryphopterus glaucofraenum, a small, short-lived goby that is common in the Caribbean. Adult density was manipulated on artificial reefs and adults were also monitored on reefs where they varied in density naturally. Survival of adult gobies showed a strong inverse relationship with their initial density across a realistic range of densities. Individually marked gobies, however, grew at similar rates across all densities, suggesting that density-dependent survival was not associated with depressed growth, and so may result from predation or parasitism rather than from food shortage. Like adult survival, the accumulation of new recruits on reefs was also much lower at high adult densities than at low densities. Suppression of recruitment by adults may occur because adults cause either reduced larval settlement or reduced early post-settlement survival. In summary, this study has documented a previously unrecorded regulatory mechanism for reef fish populations (density-dependent adult mortality) and provided a particularly strong example of a well-established mechanism (density-dependent recruitment). In combination, these two compensatory mechanisms have the potential to strongly regulate the abundance of this species, and rule out the control of abundance by the supply of recruits.",133,134,AUG,1995,103,3,275,282,10.1007/BF00328615,15,Forrester (1995),18.46372558,-64.56933099,Oecologia,unpaired,52,DD,yes,-0.006714853,0.00637,-0.004811476,0.00273,4.06e-5,7.45e-6,Exp,1,Gobiidae,Coryphopterus_glaucofraenum,carnivore,2.67,reef,LesserAntilles,Caribbean,present,180,26.68,mmSL,26.68,75,3.975,2.9
53,0.007575758,0.0015459624833740306,0.002627,5.58e-7,49,Obs - nat reefs,46,yes, Table 1 (and Fig. 2) give adult density dependence in gobies. Not early post-settlement.  Fig 5a is not appropriate b/c it's affect of adults on recruitment.,NO,yes,yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"FORRESTER, GE",STRONG DENSITY-DEPENDENT SURVIVAL AND RECRUITMENT REGULATE THE ABUNDANCE OF A CORAL-REEF FISH,OECOLOGIA,"Debate on the control of population dynamics in reef fishes has centred on whether patterns in abundance are determined by the supply of planktonic recruits, or by post-recruitment processes. Recruitment limitation implies little or no regulation of the reef-associated population, and is supported by several experimental studies that failed to detect density dependence. Previous manipulations of population density have, however, focused on juveniles, and there have been no tests for density-dependent interactions among adult reef fishes. I tested for population regulation in Coryphopterus glaucofraenum, a small, short-lived goby that is common in the Caribbean. Adult density was manipulated on artificial reefs and adults were also monitored on reefs where they varied in density naturally. Survival of adult gobies showed a strong inverse relationship with their initial density across a realistic range of densities. Individually marked gobies, however, grew at similar rates across all densities, suggesting that density-dependent survival was not associated with depressed growth, and so may result from predation or parasitism rather than from food shortage. Like adult survival, the accumulation of new recruits on reefs was also much lower at high adult densities than at low densities. Suppression of recruitment by adults may occur because adults cause either reduced larval settlement or reduced early post-settlement survival. In summary, this study has documented a previously unrecorded regulatory mechanism for reef fish populations (density-dependent adult mortality) and provided a particularly strong example of a well-established mechanism (density-dependent recruitment). In combination, these two compensatory mechanisms have the potential to strongly regulate the abundance of this species, and rule out the control of abundance by the supply of recruits.",133,134,AUG,1995,103,3,275,282,10.1007/BF00328615,15,Forrester (1995),18.46372558,-64.56933099,Oecologia,unpaired,53,DD,yes,-0.006741692,0.00274,-0.002996447,0.00108,7.51e-6,1.17e-6,Obs,1,Gobiidae,Coryphopterus_glaucofraenum,carnivore,2.67,reef,LesserAntilles,Caribbean,present,189,28.68,mmSL,28.68,75,3.0625,2.2
54,1e-10,0.013419090878297233,0.028828829,874743000000,192,main,49,yes,Fig. 5 and Fig.6 show recruitment survival as a function of post-settler density. Data will have to be converted.,yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Other_No_Counts,yes,"TUPPER, M; BOUTILIER, RG","EFFECTS OF CONSPECIFIC DENSITY ON SETTLEMENT, GROWTH AND POSTSETTLEMENT SURVIVAL OF A TEMPERATE REEF FISH",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"Settlement, growth and post-settlement mortality of the cunner (Tautogolabrus adspersus Walbaum) was investigated on isolated boulder reefs in St. Margaret's Bay, Nova Scotia. Populations of cunner on these reefs were subjected to experimental manipulations of adult and recruit population density. Settlement of cunner was unaffected by the density of prior resident adults. Elevation of adult densities to approximately twice natural levels resulted in complete mortality of newly settled fish, while removal of adults resulted in enhanced growth and recruitment success over natural populations. This clearly demonstrates that natural populations of cunner in St. Margaret's Bay are sufficiently high to result in density-dependent growth and post-settlement mortality. Growth and mortality of newly settled fish were also suppressed by high recruit densities and enhanced by low densities of conspecific recruits. On all study reefs, newly settled cunner formed social dominance hierarchies, and both growth rate and post-settlement survival were positively correlated with fish size. Recruitment success of species such as cunner, for which post-settlement mortality is size-dependent, may be strongly influenced by processes affecting growth rate.",49,49,29-Sep,1995,191,2,209,222,10.1016/0022-0981(95)00058-Y,16,Tupper and Boutilier 1995,44.5270295,-63.94921449,JEMBE,unpaired,54,DD,yes,,,,,,,Exp,,Labridae,Tautogolabrus_adspersus,planktivore,3.25,reef,NovaScotia,Atlantic,present,1,21,mmSL,21,60,6.2,5.6
